,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
641,15619,2017,Los Angeles,2018-08-06T10:52:00Z,"Kagel Canyon Rd, north of Lake View terrace ",Creek Fire,2017-12-05T03:44:00Z,0.038076455
642,13417,2017,Trinity,2018-01-09T13:21:00Z,"Black Rock Mountain, North Portion of Yolla BollyWilderness",Buck Fire,2017-09-12T17:42:00Z,0.032708355
643,12407,2017,Madera,2018-01-09T12:46:00Z,"Highway 41, south of Fish Camp",Railroad Fire,2017-08-29T12:19:00Z,0.030246148
644,10343,2017,Fresno,2018-01-09T10:04:00Z,"off of Hwy 198 & Fire Stone, south of Coalinga",Elm Fire,2017-05-18T13:11:00Z,0.025214468
645,9989,2017,Yuba,2018-02-09T09:39:00Z,"Cascade Way and Marysville Rd, north of Collins Lake ",Cascade Fire (Wind Complex),2017-10-08T23:03:00Z,0.024351476
646,9217,2017,Orange,2018-04-05T10:47:00Z,"Off of East Santa Ana Canyon Rd, west of Gypsum Canyon",Canyon 2 Fire,2017-10-09T09:51:00Z,0.022469472
647,8925,2017,Mono,2018-01-09T12:47:00Z,"West of Hwy 395, north of Hwy 89, south of Topaz",Slinkard Fire,2017-08-29T15:15:00Z,0.021757626
648,8417,2017,Butte,2018-02-09T09:48:00Z,"off Cherokee Road and Zonalea Lane, Oroville ",Cherokee Fire,2017-10-08T21:45:00Z,0.020519209
649,8094,2017,Mariposa,2018-01-09T12:16:00Z,1 Mile South of Bridalveil Campground in Yosemite,Empire Fire,2017-08-01T08:45:00Z,0.01973179
650,7697,2017,Modoc,2018-01-09T12:18:00Z,southwest of Cedarville,Parker 2 Fire,2017-08-03T14:00:00Z,0.018763972
651,7194,2017,Los Angeles,2018-01-09T12:49:00Z,"Lowell Ave and I-210, Verdugo Hills, Los Angeles City",La Tuna Fire ,2017-09-01T13:26:00Z,0.017537744
652,7000,2017,Mariposa,2018-01-09T12:39:00Z,"off Wawona Rd, east of Wawona",South Fork Fire,2017-08-14T14:28:00Z,0.017064805
653,6309,2017,Riverside,2018-01-09T11:08:00Z,"Hwy 79 North, Lambs Canyon south of Dump Road, south of Beaumont",Manzanita Fire,2017-06-26T15:10:00Z,0.015380265
654,6151,2017,Butte,2018-02-09T09:50:00Z,"La Porte Rd and Oro Bangor Hwy, Bangor",LaPorte Fire (Wind Complex),2017-10-09T00:57:00Z,0.014995088
655,6049,2017,Los Angeles,2018-01-18T09:58:00Z,"along Rye Canyon Loop, west Valencia",Rye Fire,2017-12-05T11:31:00Z,0.014746429
656,6042,2017,Lassen,2018-01-09T12:47:00Z,"Little Mud Flat, 18 miles northeast of Susanville ",Mud Fire,2017-08-29T14:36:00Z,0.014729364
657,6033,2017,Butte,2018-01-09T11:47:00Z,"Chinese Wall Rd, north of Bangor",Wall Fire,2017-07-07T14:52:00Z,0.014707424
